customer_id,name,age,gender,marital_status,income,employment_type,loan_purpose
37877,Micheal Marshall,23,Female,Single,68593.66,Self-Employed,Business
62998,Stacy Owens,57,Other,Divorced,67507.46,Salaried,Home
35352,Andrew Brown,27,Male,Single,37614.57,Retired,Medical
61545,Melissa Haas,41,Female,Married,20180.36,Self-Employed,Education
25748,Jay Duncan,29,Female,Single,21450.19,Unemployed,Car
28212,Nancy Berger,59,Other,Divorced,37870.08,Retired,Business
66040,Zachary Wilson,38,Female,Widowed,78344.52,Salaried,Business
34682,Rebecca Boyle,24,Male,Widowed,43841.57,Self-Employed,Car
11832,Michael Flores,45,Other,Widowed,52178.66,Retired,Home
72847,Ashley Chang,34,Other,Single,69550.05,Self-Employed,Business
22956,Karen Dean,29,Male,Married,51654.82,Salaried,Personal
25628,Sheila Brown,46,Other,Single,51138.37,Self-Employed,Home
98352,Matthew Lutz,22,Female,Widowed,59339.95,Retired,Car
18608,Stephanie Greene,40,Female,Divorced,54334.55,Self-Employed,Home
17621,Justin Snyder,48,Male,Widowed,48507.99,Unemployed,Personal
15104,Howard Coleman,27,Female,Divorced,39178.26,Unemployed,Education
93718,David Roberts,64,Male,Married,51177.33,Retired,Car
59001,Denise Cabrera,28,Male,Divorced,66416,Self-Employed,Personal
88557,Jacob Jones,55,Female,Single,76730.07,Retired,Car
25896,Max Gray,34,Male,Single,54384.15,Self-Employed,Personal
15636,Anthony Howell,37,Female,Single,61327.42,Salaried,Personal
71182,Michael Miller,56,Other,Divorced,54045.96,Unemployed,Business
82464,Ronald Rodriguez,60,Other,Single,48690.06,Salaried,Business
15812,Donna Smith,24,Male,Single,57713.86,Self-Employed,Business
44534,David Hughes,22,Female,Single,67839.99,Salaried,Education
60502,Stephanie Holmes,26,Female,Married,36704.57,Retired,Education
56066,David Fischer,62,Other,Divorced,28229.05,Retired,Personal
46424,Anthony Jackson,24,Other,Divorced,42004.88,Self-Employed,Medical
49337,Kenneth Franklin,49,Female,Widowed,53174.93,Unemployed,Car
72794,Linda Dixon,38,Male,Divorced,63048.07,Retired,Business
75741,Zoe Livingston,46,Other,Married,35157.38,Unemployed,Car
39536,Stephen Ferguson,64,Male,Divorced,12671.35,Self-Employed,Personal
24639,Brenda Tanner,54,Male,Married,42358.27,Unemployed,Home
83489,John Harvey,30,Other,Married,47091.29,Self-Employed,Personal
14277,Cynthia Morales,56,Male,Divorced,32565.9,Salaried,Education
71199,Ashley Ortiz,34,Male,Widowed,38658.64,Self-Employed,Medical
96148,Leonard Lawson,51,Female,Single,63009.25,Salaried,Home
86453,William Anderson,35,Male,Single,51171.8,Self-Employed,Car
85397,Kara Perez,28,Female,Divorced,55184.33,Retired,Education
56253,Kathy Brooks,34,Other,Divorced,44664.77,Retired,Business
98760,Heather Johnson,43,Other,Married,38688.34,Unemployed,Home
74672,Jessica Butler MD,60,Female,Divorced,44556.53,Self-Employed,Education
13234,Courtney Bailey,41,Other,Married,57483.2,Self-Employed,Car
80861,Jacqueline Alexander,36,Male,Widowed,27630.2,Self-Employed,Personal
34430,Andrea Sparks,38,Male,Divorced,74752.55,Unemployed,Car
22771,Theresa Walker,44,Male,Single,58622.88,Retired,Home
82142,Colleen Coleman,46,Other,Single,41961.8,Self-Employed,Home
45429,Michael Hernandez,45,Male,Divorced,62201.11,Unemployed,Personal
35145,Tiffany West,61,Other,Married,68335.24,Self-Employed,Home
36575,David Martin,49,Male,Single,45044.93,Salaried,Medical
60277,Timothy Adkins,35,Female,Married,46751.23,Self-Employed,Business
10844,Philip Perez,21,Other,Divorced,72402.11,Salaried,Education
13266,Amanda Mcdaniel,45,Other,Divorced,81784.63,Unemployed,Personal
70381,Erin Hill,27,Male,Single,50441.53,Unemployed,Car
48959,Lisa Vaughn,29,Other,Divorced,32626.78,Retired,Car
32817,David Fields,44,Other,Widowed,42940.97,Self-Employed,Business
60826,William Adams,21,Female,Widowed,65495.24,Unemployed,Home
96617,Cynthia Crawford,64,Female,Single,34546.77,Retired,Home
74593,Latoya King,28,Male,Widowed,46875.75,Self-Employed,Car
83711,Amanda Zuniga,44,Female,Married,54388.77,Unemployed,Business
23008,Isaiah Davis,31,Male,Single,36159.28,Salaried,Car
41041,Derek Campbell,37,Male,Single,66446.52,Unemployed,Home
89847,Erik Johnson,28,Male,Married,60409.51,Salaried,Personal
82062,Michael Middleton,55,Other,Widowed,80143.19,Retired,Education
82995,Colleen Graves,55,Female,Widowed,61721.91,Retired,Home
51515,Charlotte Doyle,53,Male,Widowed,35586.66,Self-Employed,Personal
40039,Dakota Patel,25,Female,Single,57955.54,Self-Employed,Education
43851,Danny Chapman,62,Male,Single,64820.33,Self-Employed,Medical
50824,Travis Brock,59,Female,Widowed,65592.18,Retired,Business
23834,John Frye,61,Female,Divorced,38347.37,Salaried,Personal
47007,David Roth,48,Male,Widowed,36554.93,Self-Employed,Medical
73106,Daniel Hill,27,Other,Married,32905.44,Self-Employed,Home
26300,Walter Gonzalez,29,Female,Single,74070.98,Retired,Business
28776,Michelle Murray,28,Other,Married,59343.18,Salaried,Personal
24889,Molly Lewis,32,Other,Married,37681.72,Unemployed,Home
31843,Kenneth Johnson,54,Male,Single,51907.83,Self-Employed,Business
94627,Jeremy Collins,53,Male,Divorced,48144.69,Unemployed,Business
95066,Abigail Salinas,43,Male,Widowed,35411.28,Unemployed,Home
78743,Erik Fuentes,44,Female,Married,50542.76,Self-Employed,Home
88286,Angel Cook,57,Male,Single,52860.43,Retired,Personal
41318,Eric Morgan,55,Male,Married,78968.8,Self-Employed,Business
59648,Anthony Merritt,64,Female,Widowed,40164.69,Salaried,Personal
86597,Richard Miller,60,Female,Divorced,24359.01,Salaried,Business
96900,Rebecca Pearson,42,Male,Divorced,34265.69,Self-Employed,Personal
85864,Sheila Davis,47,Male,Divorced,36610.29,Unemployed,Home
71352,Patricia Leach,55,Male,Single,43596.09,Salaried,Home
62292,James Hayden,21,Male,Single,34302.44,Salaried,Car
80998,Mrs. Shannon Fields,55,Other,Divorced,62331.83,Self-Employed,Personal
69851,Thomas Carter,57,Other,Widowed,33259.51,Self-Employed,Car
79035,Marissa Parker,34,Male,Widowed,50300.27,Retired,Car
49087,Donna Ball,23,Other,Single,80002.88,Self-Employed,Medical
71972,Billy Cole,21,Female,Divorced,58303.52,Self-Employed,Business
26333,Ashley Miller,25,Other,Widowed,56761.36,Salaried,Education
93902,Valerie Zuniga,46,Other,Widowed,77859.74,Salaried,Medical
31906,Christine Jones,34,Male,Widowed,68684.74,Salaried,Business
55232,Samantha Black,59,Other,Single,58476.87,Unemployed,Education
22234,Heather Roberson,47,Other,Divorced,45339.1,Salaried,Car
68343,Leah Castaneda,29,Other,Married,49659.67,Salaried,Education
84095,Nina Smith,35,Other,Divorced,48930.44,Self-Employed,Home
22289,John Bullock,35,Female,Divorced,43978.62,Retired,Home
91126,Michelle Lewis,46,Male,Single,53180.55,Salaried,Personal
66747,Dawn Silva,62,Male,Widowed,55261.22,Retired,Business
71292,Beth Hamilton,33,Female,Widowed,31330.57,Salaried,Medical
51897,Michael Williams,52,Other,Single,74480.64,Salaried,Car
28448,Maria Fleming,59,Female,Single,56146.96,Retired,Business
34087,Robert Ortiz,52,Other,Single,46058.26,Self-Employed,Car
97053,Luke Cooper,24,Female,Single,53317.64,Salaried,Home
55100,Devon Lewis,50,Male,Single,63955.53,Retired,Medical
47807,Kevin Allen,57,Male,Married,27999.7,Salaried,Medical
60172,Sarah Scott,43,Male,Divorced,48424.09,Unemployed,Home
54559,Gabriela Golden,59,Other,Divorced,32212.16,Unemployed,Education
19456,Brandon Reed,35,Other,Divorced,89855.06,Unemployed,Medical
97776,James Smith,63,Female,Widowed,52072.79,Unemployed,Education
99924,Kyle Reynolds,49,Female,Married,32333.82,Self-Employed,Car
16189,Kimberly Coffey,56,Male,Divorced,103992,Unemployed,Medical
29012,Kaylee Gonzalez,33,Other,Widowed,41959.72,Retired,Personal
27771,Megan Walsh,52,Female,Married,46863.8,Salaried,Home
22240,Matthew Day,27,Other,Married,47948.03,Retired,Education
65611,Amanda Baker,42,Other,Widowed,37280.7,Unemployed,Personal
94389,James Jackson,48,Male,Married,53710.28,Self-Employed,Car
79474,Justin Pratt,22,Male,Widowed,16838.9,Unemployed,Car
49898,Scott Little,62,Other,Divorced,66288.48,Unemployed,Medical
53767,Kevin Vasquez,26,Other,Widowed,33082.93,Self-Employed,Medical
65695,Todd Young,48,Other,Married,43770.18,Self-Employed,Personal
22787,Christian Webb,48,Other,Divorced,61272.8,Self-Employed,Business
69229,Lisa Henry,64,Male,Divorced,46933.08,Self-Employed,Business
41437,Linda Zavala,64,Female,Single,47546.78,Self-Employed,Medical
59382,Lauren Walsh,40,Male,Single,34818.84,Self-Employed,Business
41290,Erica Johnson,50,Female,Married,81434.72,Salaried,Home
37792,Peggy Miles,31,Other,Widowed,57972.24,Unemployed,Personal
64330,Richard Berry,48,Female,Widowed,33758.23,Unemployed,Home
62844,Amanda Phillips,45,Male,Married,52672.74,Self-Employed,Business
85387,Eduardo Krueger,59,Male,Divorced,32697.98,Retired,Medical
10969,Felicia Hunter,53,Other,Married,75836.21,Self-Employed,Home
67740,Jessica Walker,21,Male,Married,52994.57,Salaried,Car
95566,Rachel Robinson,47,Other,Divorced,35366.8,Retired,Medical
86637,Chad Hartman,33,Male,Widowed,60463.86,Salaried,Personal
84702,Allison Diaz,61,Male,Married,45828.86,Retired,Education
94081,Janet Meyers,23,Other,Widowed,30676.57,Retired,Education
18317,Melissa Jackson,59,Female,Married,55715.7,Self-Employed,Medical
38075,Jeffery Pierce,26,Male,Divorced,55292.63,Salaried,Business
52975,Kevin Miller,28,Female,Divorced,67066,Retired,Home
22133,Colin Wood,47,Male,Single,50967.55,Salaried,Home
16738,Katelyn Murphy,29,Male,Divorced,51605.9,Self-Employed,Medical
15300,Laura Lee,57,Male,Single,52402,Self-Employed,Car
30637,Anthony Powell,53,Male,Married,73929.24,Self-Employed,Personal
15902,Jonathan Wright,62,Female,Widowed,45348.9,Self-Employed,Business
45075,Brandi Turner,64,Female,Divorced,57041.82,Unemployed,Car
91520,Robert Valdez,44,Male,Divorced,59251.18,Retired,Medical
13382,Nicholas Williams,35,Male,Divorced,55246.65,Unemployed,Medical
72761,Kristi Sims,52,Female,Married,44781.43,Self-Employed,Car
69104,Alex Thomas,52,Other,Single,51809.06,Retired,Education
55228,Kyle Johnson,44,Other,Married,48595.13,Retired,Medical
83036,Jerry Hopkins,61,Female,Widowed,79388.16,Salaried,Personal
16439,Kathryn Fisher,32,Male,Married,43133.54,Self-Employed,Business
82115,Natasha Young,59,Male,Widowed,36311.32,Unemployed,Car
47258,Penny Turner,22,Other,Divorced,49906.97,Salaried,Education
82439,Thomas Harris,23,Other,Widowed,48849.53,Retired,Car
85747,Rebecca Larson,57,Female,Widowed,52952.65,Unemployed,Education
32630,Robert Hardy,37,Other,Single,43138.3,Self-Employed,Education
25666,Veronica Scott,22,Female,Widowed,51655.6,Unemployed,Personal
59883,Joshua Contreras,22,Other,Widowed,51944.11,Unemployed,Business
23352,Cheryl Marshall,48,Other,Married,63589.85,Unemployed,Medical
78493,Elizabeth Clark,43,Other,Divorced,51395.1,Salaried,Education
85331,Jimmy Simpson,57,Male,Married,51537.13,Retired,Medical
46847,Tyler Smith,52,Male,Married,57745.2,Unemployed,Business
25759,Mary Rocha,53,Male,Divorced,63014.83,Retired,Medical
25634,Andrew Adams,21,Other,Divorced,35244.86,Salaried,Personal
57316,Sherry Smith,39,Female,Widowed,31215.19,Self-Employed,Personal
20299,Robin Yates,22,Female,Widowed,75432.19,Self-Employed,Home
28018,Kathleen Mccann,64,Female,Single,60561.13,Unemployed,Personal
51468,Russell Gallagher,46,Female,Married,46709.2,Salaried,Education
35956,Angelica Bowen,52,Male,Divorced,50295.53,Self-Employed,Business
22881,Stephanie Moreno,26,Male,Widowed,44111.57,Salaried,Personal
30680,Cassidy Jackson,52,Other,Divorced,53169.21,Salaried,Car
63060,Samantha Brandt,24,Other,Widowed,35422.44,Unemployed,Business
57600,Rebekah Fisher,31,Female,Single,62602.5,Unemployed,Education
48727,Sara Kennedy,37,Male,Single,52631.8,Salaried,Business
27020,Rebecca Silva,58,Female,Divorced,53174.41,Salaried,Personal
20088,Tyler Chavez,44,Other,Single,36590.86,Unemployed,Car
65232,Nicholas Hardin,25,Other,Divorced,57864.01,Salaried,Home
63779,Doris Lynch,54,Female,Widowed,36935.43,Unemployed,Education
71054,Tyler Khan,26,Other,Married,39617.74,Retired,Education
25387,Gary Vasquez,42,Female,Single,51314.33,Salaried,Business
42848,Ebony Diaz,31,Male,Widowed,87609.98,Unemployed,Medical
52804,Eddie Cooley,36,Female,Married,52571.99,Salaried,Medical
70595,Tina Adams,53,Male,Married,11467.99,Unemployed,Car
29504,Jared Fuller,29,Male,Married,40362.48,Salaried,Home
34419,Natalie Morris,26,Other,Widowed,60255.94,Self-Employed,Home
14533,Juan Jones,36,Other,Widowed,33073.09,Self-Employed,Business
58567,John Wood,49,Other,Divorced,62466.54,Salaried,Business
43590,Andrew Long,23,Female,Married,52382.31,Self-Employed,Medical
95664,Robert Johnson,40,Female,Married,64869.91,Salaried,Personal
44017,Frances Jackson,56,Other,Married,41617.19,Salaried,Home
42033,Larry Bryant,39,Female,Divorced,40448.24,Retired,Personal
26305,Sara Harris,46,Other,Married,58474.78,Retired,Home
16898,Dillon Foley,23,Female,Widowed,49887.07,Self-Employed,Personal
77856,Kristen Jones,39,Male,Married,48979.66,Retired,Personal
86914,Carol Hamilton,40,Male,Single,73534.55,Retired,Home
91242,Jennifer Trujillo,52,Other,Widowed,59062.11,Salaried,Car
30671,Cynthia Silva,27,Female,Divorced,20151.16,Unemployed,Car
58212,Megan Welch,61,Female,Married,61986.02,Salaried,Business
21974,Kenneth Charles,53,Male,Single,60484.53,Retired,Personal
32230,Daniel Martinez,60,Male,Divorced,67773.67,Salaried,Personal
78435,James Long,59,Other,Divorced,35904.52,Self-Employed,Personal
85620,Christopher Lopez,38,Male,Widowed,54872.09,Unemployed,Personal
95463,Michael Duncan DVM,60,Other,Divorced,51674.45,Retired,Personal
44228,Mark Wright,21,Male,Divorced,35635.52,Retired,Medical
71384,Marco Myers,31,Male,Divorced,64201.5,Salaried,Education
79825,Tyler Nelson Jr.,48,Female,Divorced,46376.81,Salaried,Personal
53136,Seth Jones,45,Male,Married,67290.99,Salaried,Medical
82985,Holly Moore,43,Male,Married,38857.12,Salaried,Car
13300,Patrick Zimmerman,51,Other,Married,28091.22,Retired,Personal
18520,Bobby Nelson,50,Male,Married,46361.51,Salaried,Car
48990,Samuel Riley,62,Other,Single,53478.7,Retired,Business
39509,Jamie Lindsey,55,Male,Married,41987.06,Salaried,Education
29941,Jennifer Gonzalez DVM,27,Male,Divorced,4033.15,Unemployed,Home
32969,Caitlin Gray,36,Other,Married,55754.74,Unemployed,Education
20249,Billy Wagner,46,Female,Married,55684.71,Salaried,Personal
89809,Timothy Franco,22,Other,Widowed,60307.51,Salaried,Personal
34323,Jeremiah Velasquez,21,Other,Divorced,44292.61,Self-Employed,Education
61044,Ruth Richards,32,Other,Married,43474.22,Unemployed,Education
80624,James Smith,25,Female,Married,71604.83,Retired,Business
74057,Ryan Silva,57,Male,Married,26368.93,Unemployed,Car
57741,Mark Crawford,52,Other,Single,46293.23,Retired,Home
57726,Lorraine Diaz,29,Other,Married,52134.53,Salaried,Education
81852,Patrick Berry,61,Female,Widowed,59090.33,Unemployed,Home
92871,Samantha Ingram,55,Other,Divorced,52546.51,Unemployed,Education
15430,Jonathan Rivera,39,Male,Divorced,36170.11,Self-Employed,Car
26277,Robin Logan,36,Female,Married,67514.21,Self-Employed,Home
86112,Julie Cruz,23,Male,Married,50028.61,Unemployed,Medical
39928,Megan Thompson,40,Male,Married,24979.96,Unemployed,Car
94015,Seth Wright,44,Female,Divorced,53137.65,Unemployed,Home
59870,Michelle Martinez DDS,53,Other,Divorced,57129.15,Retired,Education
42447,Dean Ramirez,44,Male,Single,79411.16,Salaried,Education
85585,Wesley Castro,31,Male,Widowed,56131.27,Self-Employed,Car
15501,Heidi Smith,28,Male,Single,27769.62,Salaried,Car
82799,Gregory Ward,56,Male,Widowed,28296.48,Self-Employed,Education
54174,Andrew Vega,58,Female,Single,68880.64,Self-Employed,Home
13436,Amy Velazquez,60,Female,Divorced,37957.95,Self-Employed,Medical
40915,Mrs. Madison Silva,40,Male,Single,26756.28,Unemployed,Business
16247,Robert Perry,55,Other,Widowed,65007.66,Self-Employed,Car
63236,Sara Porter DVM,45,Male,Married,42863.96,Salaried,Education
41555,David Kennedy,55,Other,Widowed,64205.21,Self-Employed,Home
50734,Jessica Merritt,45,Male,Married,36279.21,Salaried,Car
59486,Jared Gilbert,49,Other,Divorced,72107.19,Self-Employed,Home
37888,Katherine May,38,Male,Widowed,63080.96,Self-Employed,Car
40491,Anthony Harris,38,Other,Single,39159.72,Unemployed,Education
88121,Sarah Todd,22,Male,Widowed,25094.14,Salaried,Home
24552,Traci Guerrero,55,Male,Married,84577.46,Self-Employed,Education
51218,David Soto,36,Other,Divorced,46846.88,Self-Employed,Home
63328,Scott Rowe,61,Female,Single,38559.03,Salaried,Car
81324,Tommy Chang,56,Other,Widowed,70794.62,Self-Employed,Business
64650,Johnny Jones,53,Female,Married,64186.4,Retired,Business
95428,Felicia Arnold,24,Male,Single,67741.95,Unemployed,Medical
22844,Charlotte Hart,53,Other,Divorced,48522.38,Salaried,Medical
18873,Larry Garrett,34,Other,Single,78215.82,Unemployed,Personal
47585,Jacob Marshall,41,Other,Divorced,30340.73,Retired,Education
18885,Gina Baker,40,Female,Single,41719.26,Retired,Home
78453,Kimberly Trujillo,28,Female,Widowed,55848.18,Retired,Medical
48949,Belinda Garner,27,Male,Married,67521.67,Salaried,Car
99211,John Davis,23,Female,Widowed,59917.39,Retired,Business
31068,Dominique Williams,37,Female,Widowed,48757.01,Salaried,Home
88175,Mark Hernandez,53,Male,Divorced,42872.78,Salaried,Personal
38614,Sarah Russell,32,Other,Divorced,67602.66,Self-Employed,Business
60489,Sarah Dunn,42,Other,Divorced,61465.94,Salaried,Home
28265,Michelle Edwards,42,Male,Widowed,36882.14,Retired,Medical
92437,Jennifer Griffin,50,Other,Single,36435.96,Salaried,Medical
61172,Dr. John Payne,58,Female,Single,41817.68,Salaried,Education
72645,Christopher Young,58,Male,Widowed,39893.57,Unemployed,Personal
13404,Kelly Maddox,28,Male,Widowed,65447.61,Retired,Home
78312,Eric Mitchell,47,Male,Married,56535.98,Salaried,Personal
94221,Alyssa Reyes,47,Other,Divorced,58366.81,Self-Employed,Car
65664,Karen Ortiz,54,Male,Divorced,52875.04,Salaried,Personal
69964,Steven Hansen,41,Male,Widowed,53581.56,Salaried,Medical
95349,Matthew Baker,50,Male,Widowed,26272.74,Unemployed,Education
87224,Kristin Greer,53,Other,Single,61912.75,Retired,Medical
40421,Elaine Austin,48,Female,Widowed,41547.78,Retired,Business
59985,Lisa Oliver,53,Male,Single,49502.67,Self-Employed,Medical
81163,Amber Campbell,25,Female,Widowed,42902.41,Self-Employed,Home
32595,Jerry Higgins,39,Other,Married,52188.07,Self-Employed,Education
12892,Victoria Smith,24,Other,Married,58596.41,Salaried,Home
32651,John Jackson,55,Other,Single,34867.17,Salaried,Car
36437,James Forbes,37,Other,Divorced,53791.24,Self-Employed,Car
90422,Craig Smith,64,Female,Married,43264.96,Retired,Medical
54261,Danielle Myers,48,Male,Single,69821.88,Retired,Education
22145,Samuel Sullivan,50,Other,Widowed,33280.62,Self-Employed,Personal
70178,Amanda Lee,49,Other,Widowed,34962.26,Unemployed,Education
99495,Melissa Thompson,26,Female,Single,44606.45,Retired,Education
16336,Lisa Cooper,55,Female,Divorced,36115.34,Retired,Education
27945,Pamela Wolf,61,Other,Single,46634.28,Self-Employed,Medical
89765,Brianna Clark,57,Male,Single,42081.72,Retired,Home
70053,Jorge Sanchez,44,Male,Married,51326.19,Salaried,Medical
91361,Nicole Martin,49,Other,Single,65121.08,Salaried,Personal
86588,Ruth French,51,Female,Single,51069.19,Retired,Home
20970,Mark Roberts,55,Other,Widowed,52435.32,Salaried,Personal
30920,Stephanie Townsend,53,Other,Married,34140.16,Unemployed,Business
73658,Victoria Griffith,41,Female,Widowed,47989.11,Retired,Business
96486,Nathan Nguyen,52,Other,Widowed,43673.68,Self-Employed,Home
17886,Anthony Cohen,43,Other,Divorced,60224.61,Salaried,Medical
11943,Heather Gilbert,53,Other,Divorced,38531.5,Unemployed,Personal
31047,Dennis Cochran,23,Female,Married,37090.17,Unemployed,Personal
76732,Dennis Larson,38,Male,Married,54761.44,Salaried,Car
50748,Eddie Price,45,Male,Divorced,79701.55,Unemployed,Personal
75122,Bill Maxwell,62,Female,Divorced,47360.77,Retired,Medical
35495,Vanessa Diaz,51,Male,Divorced,52523.13,Unemployed,Car
14156,Jack Smith,23,Other,Divorced,64220.33,Salaried,Medical
12203,Kathleen Mosley,60,Male,Divorced,57648.56,Unemployed,Education
57851,Jacob Johnson,44,Other,Widowed,57747.19,Salaried,Personal
17047,Justin Stewart,52,Male,Married,48572.11,Salaried,Education
71960,Michael Hoover,42,Female,Widowed,48863.97,Unemployed,Business
70062,Jeffrey Robertson,43,Male,Widowed,38672.77,Salaried,Business
24308,Sandra Craig,22,Male,Single,57295.6,Salaried,Home
23888,Sarah Bryant,47,Male,Widowed,56953.32,Self-Employed,Personal
12595,John Anderson,62,Female,Divorced,60757.47,Retired,Car
32748,Cathy Moore,22,Male,Divorced,42678.43,Salaried,Education
32530,Rodney Roberts,46,Female,Single,62452.02,Retired,Medical
12774,Daniel Roberts,37,Other,Single,67000.02,Self-Employed,Personal
15444,Dustin Kemp,60,Male,Single,31790.63,Self-Employed,Home
66282,Andrew Johnson,53,Female,Single,45546.91,Self-Employed,Medical
90357,Kenneth Moody,29,Female,Single,67625.35,Self-Employed,Education
58077,Joseph Williamson,63,Male,Widowed,40256.66,Retired,Personal
72476,Jordan Johnson,59,Other,Single,57931.44,Unemployed,Education
45297,Shannon Brown,49,Female,Widowed,50128.64,Unemployed,Personal
72721,Donna Lopez,62,Male,Married,54963.19,Retired,Personal
50787,Amanda Andrews,46,Other,Single,50585.84,Salaried,Education
58207,Tonya Jackson,55,Female,Single,61192.56,Retired,Education
98506,Anthony Delgado,45,Female,Widowed,34677.24,Salaried,Medical
20256,Tonya Tapia,44,Other,Married,36300.15,Salaried,Home
83167,Lisa Perry,33,Other,Widowed,71967.7,Unemployed,Education
56510,Billy Jones,27,Male,Widowed,81505.45,Self-Employed,Business
62564,Mr. Terry White,56,Male,Single,49918.71,Unemployed,Home
53670,Patricia Miller,40,Female,Divorced,75728.99,Unemployed,Business
56851,Steven Wilson,21,Other,Divorced,38423.38,Retired,Medical
94538,Monica Hernandez,28,Other,Widowed,42026.21,Retired,Education
94460,Melanie Gilbert,36,Other,Single,71862.31,Salaried,Home
19038,Mrs. Carmen Sloan,34,Female,Married,62061.6,Retired,Education
46672,Gregory Green,32,Other,Divorced,74096.41,Salaried,Personal
75212,Ann Guerra,43,Other,Married,57028.34,Salaried,Education
98877,Alice Neal,35,Female,Divorced,34811.81,Self-Employed,Home
88486,Jacob Moore,48,Male,Single,53353.66,Self-Employed,Education
31482,James Long,54,Male,Widowed,68030.04,Unemployed,Education
12016,Philip Robinson,22,Female,Married,48008.97,Self-Employed,Car
16838,William Holt,52,Other,Married,45703.5,Salaried,Car
24159,Kenneth Francis,43,Female,Widowed,57257.8,Retired,Home
19780,Brittany Riley,42,Male,Married,41607.41,Self-Employed,Home
80230,Mrs. Penny Brady DDS,45,Male,Divorced,54432.51,Self-Employed,Personal
32008,Samantha Guzman,42,Female,Widowed,50952.52,Self-Employed,Personal
55624,Deborah Campos,42,Female,Divorced,42643.78,Self-Employed,Education
59833,James Vega,62,Male,Divorced,64711.06,Salaried,Business
28219,Howard Beltran,26,Female,Single,59689.82,Salaried,Home
41173,Colin Russell,35,Male,Divorced,44694.94,Unemployed,Education
49579,Gloria Gomez,63,Female,Single,49775.58,Retired,Business
20469,Lori Vasquez,57,Female,Married,45930.87,Unemployed,Car
83893,Crystal Evans,53,Female,Married,40420.29,Unemployed,Personal
10132,John King,28,Male,Single,24525.95,Self-Employed,Home
42499,Teresa Long,64,Female,Divorced,42742.58,Retired,Education
85200,Teresa Lopez,64,Male,Widowed,40639.59,Self-Employed,Car
86239,Dorothy Nielsen,25,Male,Widowed,51723.36,Salaried,Medical
73613,Jessica Jefferson,59,Female,Single,56610.48,Unemployed,Car
83953,Nicole Johnson,24,Female,Married,37967.23,Retired,Education
74742,Trevor Guzman,26,Male,Married,55602.46,Salaried,Personal
98182,Troy Jenkins,52,Male,Widowed,35656.31,Unemployed,Business
38092,Marilyn Dennis,50,Other,Single,48120.61,Retired,Medical
26605,Howard Gonzalez,55,Male,Widowed,40963.71,Unemployed,Medical
60514,Robin Aguilar,60,Other,Divorced,61192.6,Retired,Personal
35396,Meghan Morgan,36,Other,Divorced,51751.6,Unemployed,Medical
95080,John Myers,33,Other,Single,48347.48,Self-Employed,Home
85835,Sean Rosario,62,Female,Single,40621.25,Unemployed,Education
59690,Brandon Smith,50,Female,Divorced,45067.38,Unemployed,Medical
13650,Darrell Smith,39,Male,Married,77435.91,Retired,Car
