loan_id,customer_id,name,loan_amount,emi_amount,emi_paid,total_emis,due_amount,last_payment_date,repayment_status,recovery_action,payment_method
857797,38075,Jeffery Pierce,650108.73,18574.54,18,35,315767.18,09-12-2023,On Time,Reminder Sent,Cash
301065,52975,Kevin Miller,944334.13,36320.54,9,26,617449.18,25-06-2023,Defaulted,Reminder Sent,Bank Transfer
305284,22133,Colin Wood,262633.9,20202.61,5,13,161620.88,31-01-2025,Defaulted,Reminder Sent,Credit Card
960322,16738,Katelyn Murphy,629029.47,19657.17,3,32,570057.93,14-08-2023,Late,Reminder Sent,Cash
785129,15300,Laura Lee,837209.31,52325.58,15,16,52325.58,06-03-2025,Late,Legal Notice,Credit Card
371684,30637,Anthony Powell,314636.53,5720.66,22,55,188781.78,17-05-2025,On Time,None,Bank Transfer
710830,15902,Jonathan Wright,851960.8,47331.16,2,18,757298.56,14-02-2024,Defaulted,Collection Agency,UPI
882501,45075,Brandi Turner,546667.32,13666.68,38,40,27333.36,15-07-2023,Late,Collection Agency,Bank Transfer
386930,91520,Robert Valdez,298572.72,17563.1,11,17,105378.6,01-01-2025,Late,Collection Agency,
990945,13382,Nicholas Williams,442047.37,15243.01,26,29,45729.03,15-03-2024,On Time,Reminder Sent,Bank Transfer
894485,72761,Kristi Sims,658407.34,14008.67,26,47,294182.07,05-11-2024,Defaulted,Legal Notice,Cash
951610,69104,Alex Thomas,665903.51,13056.93,29,51,287252.46,14-03-2025,Defaulted,Collection Agency,Credit Card
371090,55228,Kyle Johnson,830497.45,28637.84,10,29,544118.96,07-06-2024,On Time,Collection Agency,Bank Transfer
943646,83036,Jerry Hopkins,79905.97,1507.66,5,53,72367.68,30-05-2025,Defaulted,None,Credit Card
491130,16439,Kathryn Fisher,30228.11,539.79,23,56,17813.07,20-02-2024,On Time,Reminder Sent,
117592,82115,Natasha Young,417792.93,10190.07,25,41,163041.12,18-11-2023,Defaulted,Reminder Sent,Credit Card
169671,47258,Penny Turner,232037.99,5659.46,4,41,209400.02,21-01-2024,On Time,Reminder Sent,Credit Card
129519,82439,Thomas Harris,36560.06,731.2,15,50,25592,16-07-2024,Defaulted,Legal Notice,Bank Transfer
127041,85747,Rebecca Larson,96051.42,1778.73,46,54,14229.84,02-09-2024,Late,Legal Notice,Credit Card
832941,32630,Robert Hardy,641444.92,49341.92,13,13,0,06-10-2023,Defaulted,Reminder Sent,Bank Transfer
359631,25666,Veronica Scott,24809.73,2067.48,2,12,20674.8,09-05-2025,Defaulted,Collection Agency,Credit Card
749783,59883,Joshua Contreras,94164.25,1712.08,51,55,6848.32,23-12-2024,Defaulted,None,Bank Transfer
500823,23352,Cheryl Marshall,986720.06,19734.4,44,50,118406.4,02-12-2024,Defaulted,Collection Agency,Credit Card
997104,78493,Elizabeth Clark,872564.82,14542.75,7,60,770765.75,06-08-2023,Late,None,UPI
186683,85331,Jimmy Simpson,668172.66,14848.28,32,45,193027.64,23-08-2024,On Time,None,UPI
568862,46847,Tyler Smith,250922.53,12546.13,4,20,200738.08,31-08-2023,Defaulted,Reminder Sent,
267558,25759,Mary Rocha,253798.41,14099.91,7,18,155099.01,06-08-2023,,Collection Agency,Cash
497331,25634,Andrew Adams,649258.96,20289.34,26,32,121736.04,29-06-2023,Late,None,Cash
292208,57316,Sherry Smith,452141.88,7663.42,34,59,191585.5,16-05-2025,Late,Reminder Sent,Credit Card
321522,20299,Robin Yates,282456.51,5764.42,5,49,253634.48,04-01-2024,,,Cash
529632,28018,Kathleen Mccann,349062.79,8117.74,8,43,284120.9,22-04-2024,Defaulted,None,Credit Card
392277,51468,Russell Gallagher,282948.76,9431.63,7,30,216927.49,13-02-2025,Late,Reminder Sent,UPI
153837,35956,Angelica Bowen,844887.34,64991.33,11,13,129982.66,20-09-2023,Late,None,Cash
640784,22881,Stephanie Moreno,361469.43,8606.41,40,42,17212.82,03-01-2025,Late,Reminder Sent,Cash
888073,30680,Cassidy Jackson,472125.16,29507.82,8,16,236062.56,07-01-2025,,None,Cash
578425,63060,Samantha Brandt,75079.59,3128.32,0,24,75079.68,24-07-2024,Late,Collection Agency,Cash
170092,57600,Rebekah Fisher,600640.93,15806.34,9,38,458383.86,17-05-2024,On Time,Reminder Sent,UPI
500911,48727,Sara Kennedy,778410.68,21038.13,16,37,441800.73,22-11-2024,Defaulted,Reminder Sent,Cash
640263,27020,Rebecca Silva,717951.66,11965.86,11,60,586327.14,30-10-2023,On Time,None,Bank Transfer
684414,20088,Tyler Chavez,895976.42,27150.8,23,33,271508,22-06-2023,Defaulted,Legal Notice,Bank Transfer
667345,65232,Nicholas Hardin,638739.3,15579.01,36,41,77895.05,10-06-2025,Defaulted,Collection Agency,UPI
349440,63779,Doris Lynch,827768.66,27592.29,10,30,551845.8,03-03-2024,,Collection Agency,
974486,71054,Tyler Khan,470025.27,7833.75,26,60,266347.5,26-04-2025,Defaulted,Collection Agency,Bank Transfer
883605,25387,Gary Vasquez,286493.55,6511.22,44,44,0,18-06-2024,Defaulted,Collection Agency,Cash
241218,42848,Ebony Diaz,984853.42,16692.43,56,59,50077.29,06-08-2023,Defaulted,Collection Agency,UPI
101639,52804,Eddie Cooley,138082.95,5753.46,7,24,97808.82,06-01-2024,Late,Reminder Sent,UPI
854285,70595,Tina Adams,116710.18,7780.68,2,15,101148.84,12-10-2024,Defaulted,Reminder Sent,UPI
196703,29504,Jared Fuller,374904.66,17852.6,13,21,142820.8,19-06-2025,Late,Reminder Sent,Bank Transfer
448644,34419,Natalie Morris,302952.99,9467.28,4,32,265083.84,20-12-2023,Defaulted,Reminder Sent,UPI
711472,14533,Juan Jones,840785.07,22723.92,16,37,477202.32,15-08-2023,Late,Collection Agency,Cash
164682,58567,John Wood,29104.2,606.34,40,48,4850.72,19-06-2024,Defaulted,None,UPI
520004,43590,Andrew Long,593226.57,12106.66,3,49,556906.36,01-01-2025,On Time,None,Cash
874874,95664,Robert Johnson,820592.13,30392.3,26,27,30392.3,20-12-2024,Defaulted,Reminder Sent,Bank Transfer
865071,44017,Frances Jackson,723646.03,36182.3,17,20,108546.9,14-04-2025,On Time,None,Cash
785387,42033,Larry Bryant,176739.82,3334.71,10,53,143392.53,12-10-2023,Defaulted,Legal Notice,Credit Card
980830,26305,Sara Harris,713459.85,31019.99,7,23,496319.84,06-12-2024,On Time,None,Credit Card
953463,16898,Dillon Foley,433143.36,15469.41,4,28,371265.84,09-10-2024,Defaulted,Legal Notice,Credit Card
126969,77856,Kristen Jones,198977.08,3430.64,39,58,65182.16,12-06-2024,Defaulted,Legal Notice,Credit Card
937463,86914,Carol Hamilton,431745.33,11668.79,32,37,58343.95,09-01-2024,Defaulted,Legal Notice,UPI
583713,91242,Jennifer Trujillo,816582.72,23330.93,13,35,513280.46,10-06-2025,Late,Reminder Sent,Bank Transfer
365318,30671,Cynthia Silva,515842.6,13574.81,38,38,0,27-09-2024,Defaulted,Reminder Sent,Cash
149705,58212,Megan Welch,249970.14,6943.62,26,36,69436.2,05-11-2024,Late,Legal Notice,Credit Card
910944,21974,Kenneth Charles,511765.03,34117.67,4,15,375294.37,06-07-2023,Defaulted,None,UPI
623140,32230,Daniel Martinez,58295.26,3238.63,0,18,58295.34,27-01-2024,On Time,None,Cash
454666,78435,James Long,299639.49,8323.32,36,36,0,13-01-2025,Late,Reminder Sent,Cash
349554,85620,Christopher Lopez,542634.81,11545.42,47,47,0,22-01-2025,Late,,Credit Card
881781,95463,Michael Duncan DVM,393831.82,7876.64,37,50,102396.32,14-02-2025,Late,None,Credit Card
966228,44228,Mark Wright,14761.99,671,15,22,4697,12-08-2024,On Time,Collection Agency,UPI
550718,71384,Marco Myers,614988.65,27954.03,5,22,475218.51,19-02-2024,Late,Reminder Sent,Bank Transfer
541210,79825,Tyler Nelson Jr.,126397.86,2808.84,30,45,42132.6,14-08-2024,On Time,None,UPI
385269,53136,Seth Jones,433187.15,19690.33,5,22,334735.61,27-12-2024,Late,Reminder Sent,UPI
704574,82985,Holly Moore,707128.25,25254.58,28,28,0,22-08-2023,Late,Legal Notice,Bank Transfer
564733,13300,Patrick Zimmerman,174926.23,9718.12,9,18,87463.08,02-08-2024,Defaulted,None,Bank Transfer
624935,18520,Bobby Nelson,566919.05,47243.25,6,12,283459.5,02-01-2025,Late,Reminder Sent,Bank Transfer
527373,48990,Samuel Riley,326222,5624.52,48,58,56245.2,29-12-2024,Defaulted,Reminder Sent,Bank Transfer
